repo_url,filepath,commit_date,message
github.com/langchain-ai/langchain,libs/community/langchain_community/embeddings/huggingface.py,2024-02-05T22:33:34Z,"community[patch]: Add Progress bar to HuggingFaceEmbeddings (#16758)

- **Description:** Adds a function parameter to HuggingFaceEmbeddings
called `show_progress` that enables a `tqdm` progress bar if enabled.
Does not function if `multi_process = True`.
  - **Issue:** n/a
  - **Dependencies:** n/a"
github.com/langchain-ai/langchain,libs/community/langchain_community/embeddings/huggingface.py,2024-01-17T08:30:07Z,"Community[patch]use secret str in Tavily and HuggingFaceInferenceEmbeddings (#16109)

So the api keys don't show up in repr's 

Still need to do tests"
github.com/langchain-ai/langchain,libs/community/langchain_community/embeddings/huggingface.py,2023-12-11T21:53:30Z,"community[major], core[patch], langchain[patch], experimental[patch]: Create langchain-community (#14463)

Moved the following modules to new package langchain-community in a backwards compatible fashion:

```
mv langchain/langchain/adapters community/langchain_community
mv langchain/langchain/callbacks community/langchain_community/callbacks
mv langchain/langchain/chat_loaders community/langchain_community
mv langchain/langchain/chat_models community/langchain_community
mv langchain/langchain/document_loaders community/langchain_community
mv langchain/langchain/docstore community/langchain_community
mv langchain/langchain/document_transformers community/langchain_community
mv langchain/langchain/embeddings community/langchain_community
mv langchain/langchain/graphs community/langchain_community
mv langchain/langchain/llms community/langchain_community
mv langchain/langchain/memory/chat_message_histories community/langchain_community
mv langchain/langchain/retrievers community/langchain_community
mv langchain/langchain/storage community/langchain_community
mv langchain/langchain/tools community/langchain_community
mv langchain/langchain/utilities community/langchain_community
mv langchain/langchain/vectorstores community/langchain_community
mv langchain/langchain/agents/agent_toolkits community/langchain_community
mv langchain/langchain/cache.py community/langchain_community
mv langchain/langchain/adapters community/langchain_community
mv langchain/langchain/callbacks community/langchain_community/callbacks
mv langchain/langchain/chat_loaders community/langchain_community
mv langchain/langchain/chat_models community/langchain_community
mv langchain/langchain/document_loaders community/langchain_community
mv langchain/langchain/docstore community/langchain_community
mv langchain/langchain/document_transformers community/langchain_community
mv langchain/langchain/embeddings community/langchain_community
mv langchain/langchain/graphs community/langchain_community
mv langchain/langchain/llms community/langchain_community
mv langchain/langchain/memory/chat_message_histories community/langchain_community
mv langchain/langchain/retrievers community/langchain_community
mv langchain/langchain/storage community/langchain_community
mv langchain/langchain/tools community/langchain_community
mv langchain/langchain/utilities community/langchain_community
mv langchain/langchain/vectorstores community/langchain_community
mv langchain/langchain/agents/agent_toolkits community/langchain_community
mv langchain/langchain/cache.py community/langchain_community
```

Moved the following to core
```
mv langchain/langchain/utils/json_schema.py core/langchain_core/utils
mv langchain/langchain/utils/html.py core/langchain_core/utils
mv langchain/langchain/utils/strings.py core/langchain_core/utils
cat langchain/langchain/utils/env.py >> core/langchain_core/utils/env.py
rm langchain/langchain/utils/env.py
```

See .scripts/community_split/script_integrations.sh for all changes"
github.com/mlflow/mlflow,mlflow/sentence_transformers/__init__.py,2024-02-14T08:23:05Z,"Update Embedding API for sentence transformers to be compatible with OpenAI format (#11019)

Signed-off-by: lu-wang-dl <lu.wang@databricks.com>
Signed-off-by: Michael Berk <michael.berk@databricks.com>
Signed-off-by: mlflow-automation <mlflow-automation@users.noreply.github.com>
Signed-off-by: michael-berk <michaelberk99@gmail.com>
Signed-off-by: Lu Wang <lu.wang@databricks.com>
Signed-off-by: Lu Wang <38018689+lu-wang-dl@users.noreply.github.com>
Co-authored-by: michael-berk <michaelberk99@gmail.com>
Co-authored-by: Michael Berk <michael.berk@databricks.com>
Co-authored-by: mlflow-automation <mlflow-automation@users.noreply.github.com>"
github.com/mlflow/mlflow,mlflow/sentence_transformers/__init__.py,2024-02-06T03:03:43Z,"Google docstring conversion batch 6 (#10879)

Signed-off-by: Michael Berk <michael.berk@databricks.com>
Signed-off-by: mlflow-automation <mlflow-automation@users.noreply.github.com>
Signed-off-by: michael-berk <michaelberk99@gmail.com>
Co-authored-by: Michael Berk <michael.berk@databricks.com>
Co-authored-by: mlflow-automation <mlflow-automation@users.noreply.github.com>"
github.com/mlflow/mlflow,mlflow/sentence_transformers/__init__.py,2023-12-20T02:55:12Z,"Fix `sentence_transformers` failure (#10695)

Signed-off-by: harupy <17039389+harupy@users.noreply.github.com>"
github.com/mlflow/mlflow,mlflow/sentence_transformers/__init__.py,2023-12-15T20:05:16Z,"add log_model example to sentence_transformers (#10682)

Signed-off-by: Cdreetz <cdreetz@gmail.com>
Signed-off-by: Christian R <117322020+cdreetz@users.noreply.github.com>
Signed-off-by: Ben Wilson <39283302+BenWilson2@users.noreply.github.com>"
github.com/mlflow/mlflow,mlflow/sentence_transformers/__init__.py,2023-10-27T21:01:26Z,"Add model_size_bytes attribute when saving the model (#10110)

Signed-off-by: wenfeiy-db <wenfei.yan@databricks.com>"
github.com/mlflow/mlflow,mlflow/sentence_transformers/__init__.py,2023-10-14T14:37:02Z,"enable RUF013 (#9949) (#9950)

Signed-off-by: Serhii Fedash <lightnessofbein@gmail.com>
Signed-off-by: mlflow-automation <mlflow-automation@users.noreply.github.com>
Co-authored-by: mlflow-automation <mlflow-automation@users.noreply.github.com>"
github.com/mlflow/mlflow,mlflow/sentence_transformers/__init__.py,2023-09-30T02:21:53Z,"move: sentence_transformers.py to (#9776)

Signed-off-by: amiraflak <mehrdad.aflakparast@gmail.com>"
