repo_url,filepath,commit_date,message
github.com/huggingface/pytorch-image-models,onnx_export.py,2023-09-21T21:46:25Z,add input_size & batch_size to onnx_export
github.com/huggingface/pytorch-image-models,onnx_export.py,2023-08-25T18:04:34Z,"Update README, add --reparm to onnx_export"
github.com/huggingface/pytorch-image-models,onnx_export.py,2023-04-12T00:03:57Z,"Add onnx utils and export code, tweak padding and conv2d_same for better dynamic export with recent PyTorch"
github.com/deepinsight/insightface,reconstruction/gaze/models.py,2023-08-06T16:05:13Z,init gaze
github.com/Stability-AI/stablediffusion,ldm/modules/midas/midas/vit.py,2022-11-24T00:22:28Z,release more models
github.com/Mikubill/sd-webui-controlnet,annotator/midas/midas/vit.py,2023-02-13T06:00:54Z,Add files via upload
github.com/lllyasviel/ControlNet,annotator/midas/midas/vit.py,2023-02-10T19:28:11Z,i
github.com/lllyasviel/ControlNet,ldm/modules/midas/midas/vit.py,2023-02-10T19:28:11Z,i
github.com/deepinsight/insightface,reconstruction/jmlr/backbones/network.py,2022-10-11T04:28:36Z,add eyes in jmlr
github.com/deepinsight/insightface,reconstruction/jmlr/backbones/network.py,2022-08-12T13:25:17Z,add jmlr
github.com/huggingface/transformers,src/transformers/models/vit/convert_vit_timm_to_pytorch.py,2023-11-20T16:00:30Z,"timm to pytorch conversion for vit model fix (#26908)

* timm to pytorch conversion for vit model fix

* remove unecessary print statments

* Detect non-supported ViTs in transformers & better handle id2label mapping

* detect non supported hybrid resnet-vit models in conversion script

* remove check for overlap between cls token and pos embed"
github.com/huggingface/transformers,src/transformers/models/vit/convert_vit_timm_to_pytorch.py,2023-06-29T09:17:36Z,"Update old existing feature extractor references (#24552)

* Update old existing feature extractor references

* Typo

* Apply suggestions from code review

* Apply suggestions from code review

* Apply suggestions from code review

* Address comments from review - update 'feature extractor'
Co-authored by: Yih-Dar <2521628+ydshieh@users.noreply.github.com>"
github.com/huggingface/transformers,src/transformers/models/vit/convert_vit_timm_to_pytorch.py,2023-02-06T23:10:56Z,"Update quality tooling for formatting (#21480)

* Result of black 23.1

* Update target to Python 3.7

* Switch flake8 to ruff

* Configure isort

* Configure isort

* Apply isort with line limit

* Put the right black version

* adapt black in check copies

* Fix copies"
github.com/huggingface/transformers,src/transformers/models/vit/convert_vit_timm_to_pytorch.py,2022-09-26T13:50:48Z,"Use repo_type instead of deprecated datasets repo IDs (#19202)

* Use repo_type instead of deprecated datasets repo IDs

* Add missing one in doc"
github.com/huggingface/transformers,src/transformers/models/vit/convert_vit_timm_to_pytorch.py,2022-03-28T09:43:39Z,`cached_download ∘ hf_hub_url` is `hf_hub_download` (#16375)
github.com/huggingface/transformers,src/transformers/models/vit/convert_vit_timm_to_pytorch.py,2021-08-04T16:29:23Z,"Add BEiT (#12994)

* First pass

* Make conversion script work

* Improve conversion script

* Fix bug, conversion script working

* Improve conversion script, implement BEiTFeatureExtractor

* Make conversion script work based on URL

* Improve conversion script

* Add tests, add documentation

* Fix bug in conversion script

* Fix another bug

* Add support for converting masked image modeling model

* Add support for converting masked image modeling

* Fix bug

* Add print statement for debugging

* Fix another bug

* Make conversion script finally work for masked image modeling models

* Move id2label for datasets to JSON files on the hub

* Make sure id's are read in as integers

* Add integration tests

* Make style & quality

* Fix test, add BEiT to README

* Apply suggestions from @sgugger's review

* Apply suggestions from code review

* Make quality

* Replace nielsr by microsoft in tests, add docs

* Rename BEiT to Beit

* Minor fix

* Fix docs of BeitForMaskedImageModeling

Co-authored-by: Sylvain Gugger <35901082+sgugger@users.noreply.github.com>"
github.com/huggingface/transformers,src/transformers/models/vit/convert_vit_timm_to_pytorch.py,2021-04-12T22:07:10Z,"Add DeiT (PyTorch) (#11056)

* First draft of deit

* More improvements

* Remove DeiTTokenizerFast from init

* Conversion script works

* Add DeiT to ViT conversion script

* Add tests, add head model, add support for deit in vit conversion script

* Update model checkpoint names

* Update image_mean and image_std, set resample to bicubic

* Improve docs

* Docs improvements

* Add DeiTForImageClassificationWithTeacher to init

* Address comments by @sgugger

* Improve feature extractors

* Make fix-copies

* Minor fixes

* Address comments by @patil-suraj

* All models uploaded

* Fix tests

* Remove labels argument from DeiTForImageClassificationWithTeacher

* Fix-copies, style and quality

* Fix tests

* Fix typo

* Multiple docs improvements

* More docs fixes"
github.com/huggingface/transformers,src/transformers/models/vit/convert_vit_timm_to_pytorch.py,2021-04-01T15:16:05Z,"Add Vision Transformer and ViTFeatureExtractor (#10950)

* Squash all commits into one

* Update ViTFeatureExtractor to use image_utils instead of torchvision

* Remove torchvision and add Pillow

* Small docs improvement

* Address most comments by @sgugger

* Fix tests

* Clean up conversion script

* Pooler first draft

* Fix quality

* Improve conversion script

* Make style and quality

* Make fix-copies

* Minor docs improvements

* Should use fix-copies instead of manual handling

* Revert ""Should use fix-copies instead of manual handling""

This reverts commit fd4e591bce4496d41406425c82606a8fdaf8a50b.

* Place ViT in alphabetical order

Co-authored-by: Lysandre <lysandre.debut@reseau.eseo.fr>
Co-authored-by: Sylvain Gugger <35901082+sgugger@users.noreply.github.com>"
github.com/huggingface/transformers,src/transformers/models/regnet/convert_regnet_to_pytorch.py,2023-11-16T16:43:19Z,"[`Styling`] stylify using ruff (#27144)

* try to stylify using ruff

* might need to remove these changes?

* use ruf format andruff check

* use isinstance instead of type comparision

* use # fmt: skip

* use # fmt: skip

* nits

* soem styling changes

* update ci job

* nits isinstance

* more files update

* nits

* more nits

* small nits

* check and format

* revert wrong changes

* actually use formatter instead of checker

* nits

* well docbuilder is overwriting this commit

* revert notebook changes

* try to nuke docbuilder

* style

* fix feature exrtaction test

* remve `indent-width = 4`

* fixup

* more nits

* update the ruff version that we use

* style

* nuke docbuilder styling

* leve the print for detected changes

* nits

* Remove file I/O

Co-authored-by: charliermarsh
 <charlie.r.marsh@gmail.com>

* style

* nits

* revert notebook changes

* Add # fmt skip when possible

* Add # fmt skip when possible

* Fix

* More `  # fmt: skip` usage

* More `  # fmt: skip` usage

* More `  # fmt: skip` usage

* NIts

* more fixes

* fix tapas

* Another way to skip

* Recommended way

* Fix two more fiels

* Remove asynch
Remove asynch

---------

Co-authored-by: charliermarsh <charlie.r.marsh@gmail.com>"
github.com/huggingface/transformers,src/transformers/models/regnet/convert_regnet_to_pytorch.py,2023-06-29T09:17:36Z,"Update old existing feature extractor references (#24552)

* Update old existing feature extractor references

* Typo

* Apply suggestions from code review

* Apply suggestions from code review

* Apply suggestions from code review

* Address comments from review - update 'feature extractor'
Co-authored by: Yih-Dar <2521628+ydshieh@users.noreply.github.com>"
github.com/huggingface/transformers,src/transformers/models/regnet/convert_regnet_to_pytorch.py,2023-02-22T08:14:54Z,Apply ruff flake8-comprehensions (#21694)
github.com/huggingface/transformers,src/transformers/models/regnet/convert_regnet_to_pytorch.py,2023-02-06T23:10:56Z,"Update quality tooling for formatting (#21480)

* Result of black 23.1

* Update target to Python 3.7

* Switch flake8 to ruff

* Configure isort

* Configure isort

* Apply isort with line limit

* Put the right black version

* adapt black in check copies

* Fix copies"
github.com/huggingface/transformers,src/transformers/models/regnet/convert_regnet_to_pytorch.py,2022-09-26T13:50:48Z,"Use repo_type instead of deprecated datasets repo IDs (#19202)

* Use repo_type instead of deprecated datasets repo IDs

* Add missing one in doc"
github.com/huggingface/transformers,src/transformers/models/regnet/convert_regnet_to_pytorch.py,2022-05-12T20:25:55Z,"Black preview (#17217)

* Black preview

* Fixup too!

* Fix check copies

* Use the same version as the CI

* Bump black"
github.com/huggingface/transformers,src/transformers/models/regnet/convert_regnet_to_pytorch.py,2022-04-07T19:58:00Z,"RegNet (#16188)

* base model done

* make style

* done

* added files

* Apply suggestions from code review

Co-authored-by: NielsRogge <48327001+NielsRogge@users.noreply.github.com>

* Apply suggestions from code review

Co-authored-by: Sylvain Gugger <35901082+sgugger@users.noreply.github.com>

* Trigger doc build

* resolved conversations

* resolved conversations

* seer models

* minor changes

* minor changes

* make fixup

* glob variables

* minor changes

* fix copies

* config when possibile

* resolved conflicts

* resolved conflicts

* resolved conflicts

* CI

* conversion script for 10b param

* fixed for 10b model

* minor updates in the doc + make style

* removed unused code

* Apply suggestions from code review

Co-authored-by: NielsRogge <48327001+NielsRogge@users.noreply.github.com>

* removed unused code

* removed unused code

* updated modeling_utils from main

Co-authored-by: NielsRogge <48327001+NielsRogge@users.noreply.github.com>
Co-authored-by: Sylvain Gugger <35901082+sgugger@users.noreply.github.com>
Co-authored-by: Sylvain Gugger <Sylvain.gugger@gmail.com>"
github.com/huggingface/transformers,src/transformers/models/resnet/convert_resnet_to_pytorch.py,2023-06-29T09:17:36Z,"Update old existing feature extractor references (#24552)

* Update old existing feature extractor references

* Typo

* Apply suggestions from code review

* Apply suggestions from code review

* Apply suggestions from code review

* Address comments from review - update 'feature extractor'
Co-authored by: Yih-Dar <2521628+ydshieh@users.noreply.github.com>"
github.com/huggingface/transformers,src/transformers/models/resnet/convert_resnet_to_pytorch.py,2023-02-22T08:14:54Z,Apply ruff flake8-comprehensions (#21694)
github.com/huggingface/transformers,src/transformers/models/resnet/convert_resnet_to_pytorch.py,2023-02-06T23:10:56Z,"Update quality tooling for formatting (#21480)

* Result of black 23.1

* Update target to Python 3.7

* Switch flake8 to ruff

* Configure isort

* Configure isort

* Apply isort with line limit

* Put the right black version

* adapt black in check copies

* Fix copies"
github.com/huggingface/transformers,src/transformers/models/resnet/convert_resnet_to_pytorch.py,2022-09-26T13:50:48Z,"Use repo_type instead of deprecated datasets repo IDs (#19202)

* Use repo_type instead of deprecated datasets repo IDs

* Add missing one in doc"
github.com/huggingface/transformers,src/transformers/models/resnet/convert_resnet_to_pytorch.py,2022-05-12T20:25:55Z,"Black preview (#17217)

* Black preview

* Fixup too!

* Fix check copies

* Use the same version as the CI

* Bump black"
github.com/huggingface/transformers,src/transformers/models/resnet/convert_resnet_to_pytorch.py,2022-03-28T09:43:39Z,`cached_download ∘ hf_hub_url` is `hf_hub_download` (#16375)
github.com/huggingface/transformers,src/transformers/models/resnet/convert_resnet_to_pytorch.py,2022-03-14T18:57:55Z,"[WIP] Resnet (#15770)

* first commit

* ResNet model correctly implemented.

basic modeling + weights conversion is done

removed unused doc

mdx file

doc and conversion script

added feature_extractor to auto

test

minor changes + style + quality

doc

test

Delete process.yml

A left over from my attempt of running circleci locally

* minor changes

* Apply suggestions from code review

Co-authored-by: Sylvain Gugger <35901082+sgugger@users.noreply.github.com>

* new test format

* minor changes from conversations

* minor changes from conversations

* make style + quality

* readded the tests

* test + README

* minor changes from conversations

* error in README

* make fix-copies

* removed regression for classification head

* make quality

* fixed loss control flow

* fixed loss control flow

* resolved conversations

* Apply suggestions from code review

Co-authored-by: NielsRogge <48327001+NielsRogge@users.noreply.github.com>

* READMEs

* index.mdx

* minor changes

* updated tests and models

* unused import

* outputs

* Update docs/source/model_doc/resnet.mdx

Co-authored-by: NielsRogge <48327001+NielsRogge@users.noreply.github.com>

* added embeddings_size

* Apply suggestions from code review

Co-authored-by: NielsRogge <48327001+NielsRogge@users.noreply.github.com>

* conversation

* added push to hub

* test

* embedding_size

* make fix-copies

* resolved conversations

* CI

* changed organization

* minor changes

* CI

* minor changes

* conversations

* conversation

* doc

* tests

* removed unused docstring

* conversation

* removed unused outputs

* CI

Co-authored-by: Sylvain Gugger <35901082+sgugger@users.noreply.github.com>
Co-authored-by: NielsRogge <48327001+NielsRogge@users.noreply.github.com>"
github.com/huggingface/transformers,src/transformers/models/deit/convert_deit_timm_to_pytorch.py,2023-06-29T09:17:36Z,"Update old existing feature extractor references (#24552)

* Update old existing feature extractor references

* Typo

* Apply suggestions from code review

* Apply suggestions from code review

* Apply suggestions from code review

* Address comments from review - update 'feature extractor'
Co-authored by: Yih-Dar <2521628+ydshieh@users.noreply.github.com>"
github.com/huggingface/transformers,src/transformers/models/deit/convert_deit_timm_to_pytorch.py,2023-02-06T23:10:56Z,"Update quality tooling for formatting (#21480)

* Result of black 23.1

* Update target to Python 3.7

* Switch flake8 to ruff

* Configure isort

* Configure isort

* Apply isort with line limit

* Put the right black version

* adapt black in check copies

* Fix copies"
github.com/huggingface/transformers,src/transformers/models/deit/convert_deit_timm_to_pytorch.py,2022-09-26T13:50:48Z,"Use repo_type instead of deprecated datasets repo IDs (#19202)

* Use repo_type instead of deprecated datasets repo IDs

* Add missing one in doc"
github.com/huggingface/transformers,src/transformers/models/deit/convert_deit_timm_to_pytorch.py,2022-03-28T09:43:39Z,`cached_download ∘ hf_hub_url` is `hf_hub_download` (#16375)
github.com/huggingface/transformers,src/transformers/models/deit/convert_deit_timm_to_pytorch.py,2021-08-04T16:29:23Z,"Add BEiT (#12994)

* First pass

* Make conversion script work

* Improve conversion script

* Fix bug, conversion script working

* Improve conversion script, implement BEiTFeatureExtractor

* Make conversion script work based on URL

* Improve conversion script

* Add tests, add documentation

* Fix bug in conversion script

* Fix another bug

* Add support for converting masked image modeling model

* Add support for converting masked image modeling

* Fix bug

* Add print statement for debugging

* Fix another bug

* Make conversion script finally work for masked image modeling models

* Move id2label for datasets to JSON files on the hub

* Make sure id's are read in as integers

* Add integration tests

* Make style & quality

* Fix test, add BEiT to README

* Apply suggestions from @sgugger's review

* Apply suggestions from code review

* Make quality

* Replace nielsr by microsoft in tests, add docs

* Rename BEiT to Beit

* Minor fix

* Fix docs of BeitForMaskedImageModeling

Co-authored-by: Sylvain Gugger <35901082+sgugger@users.noreply.github.com>"
